"","useless","wells","fly.geno"
"1",1,"M.1.11","k5b-ds3.D.1"
"2",1,"M.1.12","k5b-ds3.D.2"
"3",1,"M.1.13","k5b-ds3.D.3"
"4",1,"M.1.14","k5b-ds3.D.4"
"5",1,"M.1.15","k5b-ds3.D.5"
"6",1,"M.1.16","k5b-ds3.D.6"
"7",1,"M.1.17","k5b-ds3.D.7"
"8",1,"M.1.18","k5b-ds3.D.8"
"9",1,"M.1.19","k5b-ds3.D.9"
"10",1,"M.1.20","k5b-ds3.B.1"
"11",1,"M.1.21","k5b-ds3.B.2"
"12",1,"M.1.22","k5b-ds3.B.3"
"13",1,"M.1.23","k5b-ds3.B.4"
"14",1,"M.1.24","k5b-ds3.B.5"
"15",1,"M.1.25","k5b-ds3.B.6"
"16",1,"M.1.26","k5b-ds3.B.7"
"17",1,"M.1.27","k5b-ds3.B.8"
"18",1,"M.1.28","k5b-ds3.B.9"
"19",1,"M.1.29","k5b-ds3.B.10"
"20",1,"M.1.30","k2a-ds4.D.1"
"21",1,"M.1.31","k2a-ds4.D.2"
"22",1,"M.1.32","k2a-ds4.D.3"
"23",1,"M.1.33","k2a-ds4.B.1"
"24",1,"M.1.34","k2a-ds4.B.2"
"25",1,"M.1.35","k2a-ds4.B.3"
"26",1,"M.1.36","k2a-ds2.B.1"
"27",1,"M.1.37","k2a-ds2.B.2"
"28",1,"M.1.38","k2a-ds2.B.3"
"29",1,"M.1.39","k2a-di6.B.1"
"30",1,"M.1.40","k2a-di6.B.2"
"31",1,"M.1.41","k2a-di6.B.3"
"32",1,"M.1.42","k2a-di5.D.1"
"33",1,"M.2.11","k2a-di5.D.2"
"34",1,"M.2.12","k2a-di5.B.1"
"35",1,"M.2.13","k2a-di5.B.2"
"36",1,"M.2.14","k2a-di5.B.3"
"37",1,"M.2.15","k2a-di5.B.4"
